constructorId,constructor_name,year,era,entries,total_dnfs,mechanical_dnfs,accident_dnfs,other_dnfs,total_points,total_wins,pts_lost_to_dnf,dnf_rate,mechanical_dnf_rate,reliability_index,rolling3_reliability,era_reliability,era_mech_dnf_rate
18,Minardi,1988,Pre-V10,32,19,8,1,10,1.0,0,1.0,0.59375,0.25,0.40625,0.18817204301075272,0.33112582781456956,0.3741721854304636
18,Minardi,1989,Pre-V10,32,22,9,8,5,6.0,0,0.0,0.6875,0.28125,0.3125,0.2708333333333333,0.33112582781456956,0.3741721854304636
18,Minardi,1990,Pre-V10,32,21,8,6,7,0.0,0,1.0,0.65625,0.25,0.34375,0.3541666666666667,0.33112582781456956,0.3741721854304636
18,Minardi,1991,Pre-V10,32,18,11,7,0,6.0,0,2.0,0.5625,0.34375,0.4375,0.3645833333333333,0.33112582781456956,0.3741721854304636
18,Minardi,1992,Pre-V10,32,18,10,2,6,1.0,0,0.0,0.5625,0.3125,0.4375,0.40625,0.33112582781456956,0.3741721854304636
18,Minardi,1993,Pre-V10,32,16,6,8,2,7.0,0,0.0,0.5,0.1875,0.5,0.4583333333333333,0.33112582781456956,0.3741721854304636
18,Minardi,1994,Pre-V10,32,17,7,10,0,5.0,0,0.0,0.53125,0.21875,0.46875,0.46875,0.33112582781456956,0.3741721854304636
18,Minardi,1995,V10,34,15,11,4,0,1.0,0,0.0,0.4411764705882353,0.3235294117647059,0.5588235294117647,0.5091911764705882,0.5108108108108108,0.3054054054054054
18,Minardi,1996,V10,32,20,8,8,4,0.0,0,3.0,0.625,0.25,0.375,0.4675245098039216,0.5108108108108108,0.3054054054054054
18,Minardi,1997,V10,34,18,10,7,1,0.0,0,0.0,0.5294117647058824,0.29411764705882354,0.47058823529411764,0.46813725490196073,0.5108108108108108,0.3054054054054054
18,Minardi,1998,V10,32,19,13,6,0,0.0,0,0.0,0.59375,0.40625,0.40625,0.4172794117647059,0.5108108108108108,0.3054054054054054
18,Minardi,1999,V10,32,16,8,8,0,1.0,0,1.0,0.5,0.25,0.5,0.4589460784313726,0.5108108108108108,0.3054054054054054
18,Minardi,2000,V10,34,14,10,4,0,0.0,0,0.0,0.4117647058823529,0.29411764705882354,0.5882352941176471,0.4981617647058824,0.5108108108108108,0.3054054054054054
18,Minardi,2001,V10,34,19,17,1,1,0.0,0,0.0,0.5588235294117647,0.5,0.4411764705882353,0.5098039215686274,0.5108108108108108,0.3054054054054054
18,Minardi,2002,V10,32,17,10,6,1,2.0,0,0.0,0.53125,0.3125,0.46875,0.49938725490196073,0.5108108108108108,0.3054054054054054
18,Minardi,2003,V10,32,12,10,2,0,0.0,0,0.0,0.375,0.3125,0.625,0.5116421568627451,0.5108108108108108,0.3054054054054054
18,Minardi,2004,V10,36,16,7,8,1,1.0,0,0.0,0.4444444444444444,0.19444444444444445,0.5555555555555556,0.5497685185185185,0.5108108108108108,0.3054054054054054
18,Minardi,2005,V10,38,15,9,3,3,7.0,0,0.0,0.39473684210526316,0.23684210526315788,0.6052631578947368,0.5952729044834308,0.5108108108108108,0.3054054054054054
19,Jaguar,2000,V10,34,13,7,6,0,4.0,0,0.0,0.38235294117647056,0.20588235294117646,0.6176470588235294,0.6176470588235294,0.5411764705882354,0.29411764705882354
19,Jaguar,2001,V10,34,18,11,7,0,9.0,0,0.0,0.5294117647058824,0.3235294117647059,0.47058823529411764,0.5441176470588236,0.5411764705882354,0.29411764705882354
19,Jaguar,2002,V10,34,19,16,3,0,8.0,0,0.0,0.5588235294117647,0.47058823529411764,0.4411764705882353,0.5098039215686274,0.5411764705882354,0.29411764705882354
19,Jaguar,2003,V10,32,16,10,5,1,18.0,0,2.0,0.5,0.3125,0.5,0.4705882352941176,0.5411764705882354,0.29411764705882354
19,Jaguar,2004,V10,36,12,6,6,0,10.0,0,1.0,0.3333333333333333,0.16666666666666666,0.6666666666666667,0.5359477124183006,0.5411764705882354,0.29411764705882354
20,Prost,1997,V10,34,14,10,4,0,21.0,0,0.0,0.4117647058823529,0.29411764705882354,0.5882352941176471,0.5882352941176471,0.509090909090909,0.34545454545454546
20,Prost,1998,V10,32,17,11,6,0,1.0,0,0.0,0.53125,0.34375,0.46875,0.5284926470588236,0.509090909090909,0.34545454545454546
20,Prost,1999,V10,32,15,12,3,0,9.0,0,0.0,0.46875,0.375,0.53125,0.5294117647058824,0.509090909090909,0.34545454545454546
20,Prost,2000,V10,33,23,17,6,0,0.0,0,0.0,0.696969696969697,0.5151515151515151,0.303030303030303,0.43434343434343425,0.509090909090909,0.34545454545454546
20,Prost,2001,V10,34,12,7,5,0,4.0,0,0.0,0.35294117647058826,0.20588235294117646,0.6470588235294117,0.49377970885323824,0.509090909090909,0.34545454545454546
21,Arrows,1978,Pre-V10,28,15,5,3,7,11.0,0,0.0,0.5357142857142857,0.17857142857142858,0.4642857142857143,0.4642857142857143,0.485,0.2925
21,Arrows,1979,Pre-V10,30,15,10,3,2,5.0,0,0.0,0.5,0.3333333333333333,0.5,0.48214285714285715,0.485,0.2925
21,Arrows,1980,Pre-V10,29,14,5,5,4,11.0,0,0.0,0.4827586206896552,0.1724137931034483,0.5172413793103448,0.49384236453201974,0.485,0.2925
21,Arrows,1981,Pre-V10,30,22,11,5,6,10.0,0,1.0,0.7333333333333333,0.36666666666666664,0.2666666666666667,0.42796934865900377,0.485,0.2925
21,Arrows,1982,Pre-V10,30,14,5,3,6,5.0,0,0.0,0.4666666666666667,0.16666666666666666,0.5333333333333333,0.43908045977011495,0.485,0.2925
21,Arrows,1983,Pre-V10,30,9,6,2,1,4.0,0,1.0,0.3,0.2,0.7,0.5,0.485,0.2925
21,Arrows,1984,Pre-V10,32,21,13,6,2,6.0,0,2.0,0.65625,0.40625,0.34375,0.5256944444444445,0.485,0.2925
21,Arrows,1985,Pre-V10,32,11,7,4,0,14.0,0,0.0,0.34375,0.21875,0.65625,0.5666666666666667,0.485,0.2925
21,Arrows,1986,Pre-V10,31,17,13,2,2,1.0,0,1.0,0.5483870967741935,0.41935483870967744,0.4516129032258065,0.4838709677419355,0.485,0.2925
21,Arrows,1987,Pre-V10,32,22,20,2,0,11.0,0,6.0,0.6875,0.625,0.3125,0.4734543010752688,0.485,0.2925
21,Arrows,1988,Pre-V10,32,14,9,3,2,23.0,0,0.0,0.4375,0.28125,0.5625,0.4422043010752688,0.485,0.2925
21,Arrows,1989,Pre-V10,32,16,7,7,2,13.0,0,3.0,0.5,0.21875,0.5,0.4583333333333333,0.485,0.2925
